23.7;394.04;552.18
23.8;396.84;554.79
23.9;399.65;557.40
24;402.46;560.01
24.1;405.26;562.61
24.2;408.07;565.22
24.3;410.87;567.83
24.4;413.68;570.44
24.5;416.47;573.04
24.6;419.26;575.63
24.7;422.04;578.21
24.8;424.80;580.77
24.9;427.55;583.32
25;430.28;585.86
25.1;432.99;588.37
25.2;435.69;590.87
25.3;438.37;593.36
25.4;441.04;595.82
25.5;443.68;598.27
25.6;446.31;600.71
25.7;448.93;603.12
25.8;451.53;605.52
25.9;454.11;607.91
26;456.67;610.27
26.1;459.22;612.62
26.2;461.75;614.96
26.3;464.26;617.27
26.4;466.76;619.57
26.5;469.24;621.86
26.6;471.70;624.12
26.7;474.15;626.37
26.8;476.58;628.61
26.9;478.99;630.82
27;481.39;633.02
27.1;483.77;635.21
27.2;486.14;637.37
27.3;488.48;639.52
27.4;490.81;641.66
27.5;493.13;643.78
27.6;495.44;645.89
27.7;497.73;647.99
27.8;500.03;650.08
27.9;502.31;652.17
28;504.60;654.26
28.1;506.89;656.36
28.2;509.18;658.45
28.3;511.47;660.54
28.4;513.76;662.63
28.5;516.05;664.72
28.6;518.34;666.81
28.7;520.63;668.91
28.8;522.91;671.00
28.9;525.20;673.09
29;527.49;675.18
29.1;529.78;677.27
29.2;532.07;679.36
29.3;534.36;681.46
29.4;536.65;683.55
29.5;538.94;685.64
29.6;541.23;687.73
29.7;543.51;689.82
29.8;545.80;691.91
29.9;548.09;694.01
30;550.38;696.10
30.1;552.67;698.19
30.2;554.96;700.28
30.3;557.25;702.37
30.4;559.54;704.46
30.5;561.83;706.56
30.6;564.11;708.65
30.7;566.40;710.74
30.8;568.69;712.83
30.9;570.98;714.92
31;573.27;717.01
31.1;575.56;719.11
31.2;577.85;721.20
31.3;580.14;723.29
31.4;582.43;725.38
31.5;584.71;727.47
31.6;587.00;729.56
31.7;589.29;731.66
31.8;591.58;733.75
31.9;593.87;735.84
32;596.16;737.93
32.1;598.45;740.02
32.2;600.74;742.11
32.3;603.03;744.21
32.4;605.31;746.30
32.5;607.60;748.39
32.6;609.89;750.48
32.7;612.18;752.57
32.8;614.47;754.67
32.9;616.77;756.77
33;619.08;758.88
33.1;621.39;760.99
