14.8;15.7778;13.8056;16.9444
14.9;16.1111;14.1389;17.0278
15;16.4444;14.4722;17.0833
15.1;16.7778;14.8056;17.1111
15.2;17.1111;15.1389;17.1111
15.3;17.4444;15.4722;17.1111
15.4;17.7778;15.8056;17.1111
15.5;18.1111;16.1389;17.1111
15.6;18.4444;16.4722;17.1111
15.7;18.7778;16.8056;17.1111
15.8;19.1111;17.1389;17.1111
15.9;19.4444;17.4722;17.1111
16;19.7778;17.8056;17.1111
16.1;20.1111;18.1389;17.1111
16.2;20.4444;18.4722;17.1111
16.3;20.7778;18.8056;17.1111
16.4;21.1111;19.1389;17.1111
16.5;21.4444;19.4722;17.1111
16.6;21.7778;19.8056;17.1111
16.7;22.1111;20.1389;17.1111
16.8;22.4444;20.4722;17.1111
16.9;22.7778;20.8056;17.1111
17;23.1111;21.1389;17.1111
17.1;23.4444;21.4722;17.1111
17.2;23.7778;21.8056;17.1111
17.3;24.1111;22.1389;17.0833
17.4;24.4444;22.4722;17.0278
17.5;24.7778;22.8056;16.9444
17.6;25.1111;23.1389;16.8333
17.7;25.4444;23.4722;16.6944
17.8;25.7778;23.8056;16.5556
17.9;26.1111;24.1389;16.4167
18;26.3889;24.4167;16.2778
18.1;26.6111;24.6389;16.1389
18.2;26.8333;24.8611;16.0000
18.3;27.0000;25.0278;15.8611
18.4;27.1667;25.1944;15.7222
18.5;27.2778;25.3056;15.5833
18.6;27.3889;25.4167;15.4444
18.7;27.4444;25.4722;15.3056
18.8;27.5000;25.5278;15.1667
18.9;27.5556;25.5833;15.0278
19;27.6111;25.6389;14.8889
19.1;27.6667;25.6944;14.7500
19.2;27.7222;25.7500;14.6111
19.3;27.7778;25.8056;14.4722
19.4;27.8333;25.8611;14.3333
19.5;27.8889;25.9167;14.1944
19.6;27.9444;25.9722;14.0556
19.7;28.0000;26.0278;13.9167
19.8;28.0556;26.0833;13.7778
19.9;28.0556;26.0833;13.6389
20;28.0556;26.0833;13.5000
20.1;28.0556;26.0833;13.3611
20.2;28.0556;26.0833;13.2222
